,S.No.,District,VDC/Municipality,Localbody,VDC/Municipality_Stripped
259,12104,Dang,Ghorahi Submetropolitan City,Ghorahi,Ghorahi
260,12105,Pyuthan,Airawati Rural Municipality,Ayirabati,Airawati
261,12106,Baglung,Bareng Rural Municipality,Bareng,Bareng
262,12109,Nuwakot,Bidur Municipality,Bidur,Bidur
263,12110,Ramechhap,Ramechhap Municipality,Ramechhap,Ramechhap
264,12112,Saptari,Balanbihul Rural Municipality,Balan Bihul,Balanbihul
265,12113,Panchthar,Phalelung Rural Municipality,Falelung,Phalelung
266,12114,Banke,Janaki Rural Municipality,Janaki,Janaki
267,12115,Gulmi,Reshunga Municipality,Resunga,Reshunga
268,12116,Arghakhanchi,Malarani Rural Municipality,Malarani,Malarani
269,12119,Makawanpur,Bhimphedi Rural Municipality,Bhimphedi,Bhimphedi
270,12120,Kavrepalanchowk,Panchkhal Municipality,Panchkhal,Panchkhal
271,12123,Panchthar,Phidim Municipality,Phidim,Phidim
272,12124,Palpa,Rainadevichhahara Rural Municipality,Rainadevi Chhahara,Rainadevichhahara
273,12125,Palpa,Tansen Municipality,Tansen,Tansen
274,12126,Kathmandu,Dakshinkali Municipality,Dakshinkali,Dakshinkali
275,12128,Bhaktapur,Bhaktapur Municipality,Bhaktapur,Bhaktapur
276,12129,Makawanpur,Bakaiya Rural Municipality,Bakaiya,Bakaiya
277,12130,Rasuwa,Naukunda Rural Municipality,Naukunda,Naukunda
278,12131,Kavrepalanchowk,Roshi Rural Municipality,Roshi,Roshi
279,12134,Morang,Gramthan Rural Municipality,Gramthan,Gramthan
280,12135,Jhapa,Bhadrapur Municipality,Bhadrapur,Bhadrapur
281,12137,Terhathum,Chhathar Rural Municipality,Chhathar Jorpati,Chhathar
282,12138,Shankhuwasabha,Bhotkhola Rural Municipality,Bhotkhola,Bhotkhola
283,12139,Rukum West,Chaurjahari Municipality,Chaurjahari,Chaurjahari
284,12140,Baglung,Baglung Municipality,Baglung,Baglung
285,12142,Makawanpur,Kailash Rural Municipality,Kailash,Kailash
286,12145,Terhathum,Laligurans Municipality,Laligurans,Laligurans
287,12150,Okhaldhunga,Chishankhugadhi Rural Municipality,Chisankhugadhi,Chishankhugadhi
288,12151,Solukhumbu,Mahakulung Rural Municipality,Mahakulung,Mahakulung
289,12152,Terhathum,Aathrai Rural Municipality,Aathrai Tribeni,Aathrai
290,12155,Baglung,Kathekhola Rural Municipality,Kanthekhola,Kathekhola
291,12156,Lalitpur,Lalitpur Metropolitan City,Lalitpur,Lalitpur
292,12157,Bhaktapur,Suryabinayak Municipality,Suryabinayak,Suryabinayak
293,12159,Dhading,Gangajamuna Rural Municipality,Gangajamuna,Gangajamuna
294,12163,Morang,Rangeli Municipality,Rangeli,Rangeli
295,12164,Jhapa,Damak Municipality,Damak,Damak
296,12165,Udayapur,Tapli Rural Municipality,Tapli,Tapli
297,12169,Jhapa,Kankai Municipality,Kankai,Kankai
298,12173,Arghakhanchi,Bhumikasthan Municipality,Bhumekasthan,Bhumikasthan
299,12176,Solukhumbu,Khumbupasanglhamu Rural Municipality,Khumbupasanglahmu,Khumbupasanglhamu
300,12181,Dhading,Neelakantha Municipality,Nilakantha,Neelakantha
301,12182,Nawalparasi (Bardghat Susta East),Binayitribeni Rural Municipality,Binayee Tribeni,Binayitribeni
302,12186,Sindhupalchowk,Chautarasangachowkgadhi Municipality,Chautara SangachokGadhi,Chautarasangachowkgadhi
303,12187,Mahottari,Samsi Rural Municipality,Samsi,Samsi
304,12190,Solukhumbu,Nechasalyan Rural Municipality,Nechasalyan,Nechasalyan
305,12192,Kavrepalanchowk,Bethanchowk Rural Municipality,Bethanchowk,Bethanchowk
306,12198,Lalitpur,Godawari Municipality,Godawari,Godawari
307,12198,Lalitpur,Godawari Municipality,Godawari,Godawari
308,12202,Jhapa,Shivasatakshi Municipality,Shivasataxi,Shivasatakshi
309,12207,Sunsari,Harinagar Rural Municipality,Harinagara,Harinagar
310,12210,Khotang,Rawa Besi Rural Municipality,,Rawa Besi
311,12211,Bardiya,Madhuwan Municipality,Madhuwan,Madhuwan
312,12213,Parsa,Bahudarmai Municipality,Bahudaramai,Bahudarmai
313,12222,Bajura,Badimalika Municipality,Badimalika,Badimalika
314,12223,Rolpa,Madi Rural Municipality,Madi,Madi
315,12223,Rolpa,Madi Rural Municipality,Madi,Madi
316,12223,Rolpa,Madi Rural Municipality,Madi,Madi
317,12223,Rolpa,Madi Rural Municipality,Madi,Madi
318,12224,Bara,Mahagadhimai Municipality,Mahagadhimai,Mahagadhimai
319,12227,Morang,Ratuwamai Municipality,Ratuwamai,Ratuwamai
320,12229,Dolpa,Tripurasundari Municipality,Tripurasundari,Tripurasundari
321,12229,Dolpa,Tripurasundari Municipality,Tripurasundari,Tripurasundari
322,12232,Kathmandu,Tokha Municipality,Tokha,Tokha
323,12234,Mahottari,Ekdara Rural Municipality,Ekdanra,Ekdara
324,12241,Morang,Patharisanishchare Municipality,Patahrishanishchare,Patharisanishchare
325,12246,Shankhuwasabha,Dharmadevi Municipality,Dharmadevi,Dharmadevi
326,12248,Baitadi,Melauli Municipality,Melauli,Melauli
327,12249,Bajura,Budhinanda Municipality,Budhinanda,Budhinanda
328,12250,Bardiya,Barbardiya Municipality,Barbardiya,Barbardiya
329,12252,Bara,Nijgadh Municipality,Nijgadh,Nijgadh
330,12261,Mahottari,Manara,,Manara
331,12270,Okhaldhunga,Likhu Rural Municipality,Likhupike,Likhu
332,12274,Baglung,Galkot Municipality,Galkot,Galkot
333,12275,Tanahu,Aanbookhaireni Rural Municipality,Anbukhaireni,Aanbookhaireni
334,12276,Sindhupalchowk,Balephi Rural Municipality,Balefi,Balephi
335,12277,Parsa,Pokhariya Municipality,Pokhariya,Pokhariya
336,12278,Sarlahi,Brahmapuri Rural Municipality,Bramhapuri,Brahmapuri
337,12281,Bhojpur,Shadananda Municipality,Shadananda,Shadananda
338,12286,Solukhumbu,Sotang Rural Municipality,Sotang,Sotang
339,12289,Chitawan,Khairhani Municipality,Khairahani,Khairhani
340,12291,Sarlahi,Lalbandi Municipality,Lalbandi,Lalbandi
341,12293,Dhanusha,Kshireshwornath Municipality,Chhireshwornath,Kshireshwornath
342,12298,Bhojpur,Bhojpur Municipality,Bhojpur,Bhojpur
343,12299,Shankhuwasabha,Khandbari Municipality,Khandbari,Khandbari
344,12301,Palpa,Rampur Municipality,Rampur,Rampur
345,12303,Shyanja,Biruwa Rural Municipality,Biruwa,Biruwa
346,12304,Shyanja,Galyang Municipality,Galyang,Galyang
347,12306,Kavrepalanchowk,Namobuddha Municipality,Namobuddha,Namobuddha
348,12307,Kavrepalanchowk,Chaurideurali Rural Municipality,Chaurideurali,Chaurideurali
349,12318,Pyuthan,Pyuthan Municipality,Pyuthan,Pyuthan
350,12322,Makawanpur,Makawanpurgadhi Rural Municipality,Makawanpurgadhi,Makawanpurgadhi
351,12323,Sindhupalchowk,Sunkoshi Rural Municipality,Sunkoshi,Sunkoshi
352,12323,Sindhupalchowk,Sunkoshi Rural Municipality,Sunkoshi,Sunkoshi
353,12323,Sindhupalchowk,Sunkoshi Rural Municipality,Sunkoshi,Sunkoshi
354,12323,Sindhupalchowk,Sunkoshi Rural Municipality,Sunkoshi,Sunkoshi
355,12324,Dolakha,Jiri Municipality,Jiri,Jiri
356,12325,Bara,Prasauni Rural Municipality,Prasauni,Prasauni
357,12325,Bara,Prasauni Rural Municipality,SakhuwaPrasauni,Prasauni
358,12332,Solukhumbu,Solududhkunda Municipality,Solududhakunda,Solududhkunda
359,12334,Dhankuta,Dhankuta Municipality,Dhankuta,Dhankuta
360,12337,Shankhuwasabha,Savapokhari Rural Municipality,Sabhapokhari,Savapokhari
361,12338,Jumla,Tatopani Rural Municipality,Tatopani,Tatopani
362,12343,Tanahu,Myagde Rural Municipality,Myagde,Myagde
363,12344,Kathmandu,Budhanilkantha Municipality,Budhanilakantha,Budhanilkantha
364,12345,Sindhuli,Golanjor Rural Municipality,Golanjor,Golanjor
365,12349,Sarlahi,Dhankaul Rural Municipality,Dhankaul,Dhankaul
366,12352,Dhankuta,Pakhribas Municipality,Pakhribas,Pakhribas
367,12354,Bajhang,Masta Rural Municipality,Masta,Masta
368,12355,Chitawan,Rapti Municipality,Rapti,Rapti
369,12355,Chitawan,Rapti Municipality,Rapti,Rapti
370,12355,Chitawan,Rapti Municipality,Rapti Sonari,Rapti
