,VDC/Municipality,Localbody
464,Madane Rural Municipality,Madane
465,Thakurbaba Municipality,Thakurbaba
466,Banepa Municipality,Banepa
467,Phikkal Rural Municipality,Phikkal
468,Gajuri Rural Municipality,Gajuri
469,,Ishanath
470,Balwa Municipality,Balwa
471,Aathbiskot Municipality,Aathbiskot
472,Chulachuli Rural Municipality,Chulachuli
473,Buddhabhumi Municipality,Buddhabhumi
474,Baglung Municipality,Baglung
475,Dharche Rural Municipality,Dharche
476,,Solududhakunda
477,,Pancheshwar
478,Sigas Rural Municipality,Sigas
479,Hariharpurgadhi Rural Municipality,Hariharpurgadhi
480,Ruru Rural Municipality,Ruru
481,Satyawati Rural Municipality,Satyawati
482,Dordi Rural Municipality,Dordi
483,Haldibari Rural Municipality,Haldibari
484,,Ganeshman Charnath
485,Kwholasothar Rural Municipality,Kwholasothar
486,,Barhadashi
487,Panchakanya Rural Municipality,Panchakanya
488,Prasauni Rural Municipality,Prasauni
489,,Balefi
490,Gaumul Rural Municipality,Gaumul
491,,Siranchok
492,,Bhumekasthan
493,,Dipayal Silgadi
494,,Chisankhugadhi
495,Bhanu Municipality,Bhanu
496,Jiri Municipality,Jiri
497,Umakunda Rural Municipality,Umakunda
498,,Kedarseu
499,Tilagufa Municipality,Tilagufa
500,Maiwakhola Rural Municipality,Maiwakhola
501,Bhumlu Rural Municipality,Bhumlu
502,Tilathikoiladi Rural Municipality,Tila
503,Tilagufa Municipality,Tila
504,Tila Rural Municipality,Tila
505,Matihani Municipality,Matihani
506,Sarawal Rural Municipality,Sarawal
507,,Kuse
508,,Suddhodhan
509,Chhedagad Municipality,Chhedagad
510,,Thawang
511,Tinau Rural Municipality,Tinau
512,Bhagawatimai Rural Municipality,Bhagawatimai
513,,Sani Bheri
514,Kalikamai Rural Municipality,Kalikamai
515,Khanikhola Rural Municipality,Khanikhola
516,,Bagnaskali
517,Mangala Rural Municipality,Mangala
518,Barahapokhari Rural Municipality,Barahapokhari
519,Birtamod Municipality,Birtamod
520,,Chatrakot
521,,Janaknandani
522,Tansen Municipality,Tansen
523,Duhabi Municipality,Duhabi
524,Khandbari Municipality,Khandbari
525,Buddhashanti Rural Municipality,Buddhashanti
526,Bungal Municipality,Bungal
527,Gulariya Municipality,Gulariya
528,,Bannigadhi Jayagadh
529,Barju Rural Municipality,Barju
530,Narayan Municipality,Narayan
531,Sotang Rural Municipality,Sotang
532,Phaktanglung Rural Municipality,Phaktanglung
533,Chhipaharmai Rural Municipality,Chhipaharmai
534,Sundarbazar Municipality,Sundarbazar
