,District,VDC/Municipality,Localbody,VDC/Municipality_Stripped
155,Sunsari,Koshi Rural Municipality,Koshi Tappu Wildlife Reserve,Koshi
156,Taplejung,Maiwakhola Rural Municipality,Maiwakhola,Maiwakhola
157,Baglung,Jaimini Municipality,,Jaimini
158,Kathmandu,Kirtipur Municipality,Kirtipur,Kirtipur
159,Chitawan,Kalika Municipality,Kalika,Kalika
160,Chitawan,Kalika Municipality,Kalikamai,Kalika
161,Chitawan,Kalika Municipality,Kalika,Kalika
162,Chitawan,Kalika Municipality,Kalika,Kalika
163,Morang,Biratnagar Metropolitan City,,Biratnagar Metropolitan City
164,Rupandehi,Butwal Submetropolitan City,Butwal,Butwal
165,Bara,Baragadhi Rural Municipality,Baragadhi,Baragadhi
166,Sarlahi,Bishnu Rural Municipality,Bishnupur,Bishnu
167,Sarlahi,Bishnu Rural Municipality,Bishnupur,Bishnu
168,Sarlahi,Bishnu Rural Municipality,Bishnu,Bishnu
169,Morang,Sundarharaicha Municipality,Sundarharaicha,Sundarharaicha
170,Gulmi,Musikot Municipality,Musikot,Musikot
171,Gulmi,Musikot Municipality,Musikot,Musikot
